country,capital,lat,lon
Austria,Vienna,48.2082,16.3738
Belgium,Brussels,50.8503,4.3517
Bulgaria,Sofia,42.6977,23.3219
Croatia,Zagreb,45.8150,15.9819
Cyprus,Nicosia,35.1856,33.3823
Czechia,Prague,50.0755,14.4378
Denmark,Copenhagen,55.6761,12.5683
Estonia,Tallinn,59.4370,24.7536
Finland,Helsinki,60.1699,24.9384
France,Paris,48.8566,2.3522
Germany,Berlin,52.5200,13.4050
Greece,Athens,37.9838,23.7275
Hungary,Budapest,47.4979,19.0402
Ireland,Dublin,53.3498,-6.2603
Italy,Rome,41.9028,12.4964
Latvia,Riga,56.9496,24.1052
Lithuania,Vilnius,54.6872,25.2797
Luxembourg,Luxembourg City,49.6116,6.1319
Malta,Valletta,35.8989,14.5146
Netherlands,Amsterdam,52.3676,4.9041
Poland,Warsaw,52.2297,21.0122
Portugal,Lisbon,38.7223,-9.1393
Romania,Bucharest,44.4268,26.1025
Slovakia,Bratislava,48.1486,17.1077
Slovenia,Ljubljana,46.0569,14.5058
Spain,Madrid,40.4168,-3.7038
Sweden,Stockholm,59.3293,18.0686
